total_cells, active_cells, stem_cells, active_stem_cells 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 7, 7 
16, 16, 13, 13 
32, 32, 25, 25 
60, 56, 40, 36 
111, 102, 71, 64 
191, 160, 110, 88 
304, 226, 166, 118 
462, 316, 241, 159 
