total_cells, active_cells, stem_cells, active_stem_cells 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 8, 8 
16, 16, 16, 16 
32, 32, 29, 29 
63, 62, 55, 54 
116, 106, 96, 87 
194, 156, 148, 113 
308, 228, 217, 150 
469, 322, 315, 207 
