total_cells, active_cells, stem_cells, active_stem_cells 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 2, 2 
16, 16, 3, 3 
31, 30, 4, 4 
58, 54, 5, 5 
106, 96, 7, 7 
181, 150, 10, 8 
285, 208, 11, 6 
439, 308, 13, 8 
