total_cells, active_cells, stem_cells, active_stem_cells 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 3, 3 
8, 8, 4, 4 
16, 16, 7, 7 
32, 32, 11, 11 
61, 58, 16, 16 
109, 96, 22, 21 
188, 158, 36, 31 
301, 226, 51, 37 
452, 302, 67, 37 
