total_cells, active_cells, stem_cells, active_stem_cells 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 10, 10 
32, 32, 15, 15 
62, 60, 22, 20 
111, 98, 30, 23 
189, 156, 47, 37 
305, 232, 65, 44 
465, 320, 85, 52 
