total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 5, 5 
16, 16, 8, 8 
31, 30, 12, 12 
54, 46, 19, 16 
87, 66, 26, 18 
135, 96, 33, 19 
204, 138, 44, 25 
288, 168, 55, 26 
399, 222, 68, 29 
550, 302, 84, 36 
731, 362, 97, 33 
935, 408, 109, 28 
