total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 2, 2 
8, 8, 4, 4 
16, 16, 7, 7 
32, 32, 14, 14 
59, 54, 20, 17 
108, 98, 29, 26 
184, 152, 43, 33 
293, 218, 59, 38 
455, 324, 81, 52 
666, 422, 102, 55 
934, 536, 132, 68 
1269, 670, 159, 65 
1671, 804, 192, 71 
2168, 994, 224, 77 
2759, 1182, 256, 78 
3458, 1398, 291, 82 
4262, 1608, 322, 75 
5206, 1888, 348, 70 
6284, 2156, 373, 69 
7498, 2428, 394, 53 
8875, 2754, 414, 49 
10406, 3062, 435, 51 
