total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 2, 2 
8, 8, 3, 3 
16, 16, 5, 5 
31, 30, 9, 9 
54, 46, 14, 12 
91, 74, 19, 15 
143, 104, 25, 17 
214, 142, 31, 17 
307, 186, 38, 18 
431, 248, 47, 22 
584, 306, 58, 25 
761, 354, 65, 21 
984, 446, 74, 19 
