total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 1, 1 
8, 8, 2, 2 
16, 16, 4, 4 
32, 32, 6, 6 
62, 60, 12, 12 
111, 98, 20, 17 
188, 154, 29, 22 
298, 220, 43, 31 
445, 294, 58, 33 
651, 412, 74, 40 
912, 522, 88, 37 
1241, 658, 113, 57 
1643, 804, 138, 58 
2128, 970, 159, 57 
2714, 1172, 182, 55 
3424, 1420, 205, 59 
4227, 1606, 225, 56 
5164, 1874, 256, 69 
6244, 2160, 279, 57 
7463, 2438, 297, 49 
8818, 2710, 312, 39 
10324, 3012, 327, 37 
