total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 3, 3 
16, 16, 6, 6 
31, 30, 10, 9 
53, 44, 14, 9 
86, 66, 18, 11 
132, 92, 22, 12 
198, 132, 27, 12 
285, 174, 32, 13 
392, 214, 41, 19 
522, 260, 46, 15 
690, 336, 54, 19 
893, 406, 63, 21 
