total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
32, 32, 14, 14 
60, 56, 22, 20 
106, 92, 28, 24 
180, 148, 36, 28 
292, 224, 53, 36 
