total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 1, 1 
16, 16, 0, 0 
32, 32, 0, 0 
62, 60, 0, 0 
109, 94, 0, 0 
189, 160, 0, 0 
299, 220, 0, 0 
