total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
32, 32, 14, 14 
60, 56, 23, 22 
111, 102, 30, 28 
191, 160, 53, 46 
308, 234, 64, 44 
