total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 2, 2 
16, 16, 1, 1 
32, 32, 0, 0 
63, 62, 0, 0 
113, 100, 0, 0 
193, 160, 0, 0 
306, 226, 0, 0 
