total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
32, 32, 14, 14 
62, 60, 23, 22 
113, 102, 31, 28 
189, 152, 52, 42 
302, 226, 64, 40 
