total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
31, 30, 12, 12 
59, 56, 17, 16 
105, 92, 24, 20 
179, 148, 34, 24 
284, 210, 47, 30 
