total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
31, 30, 14, 14 
60, 58, 22, 22 
109, 98, 35, 32 
182, 146, 44, 32 
292, 220, 61, 42 
