total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 0, 0 
4, 4, 0, 0 
8, 8, 0, 0 
16, 16, 0, 0 
32, 32, 0, 0 
63, 62, 0, 0 
110, 94, 0, 0 
185, 150, 0, 0 
290, 210, 0, 0 
