total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 4, 4 
16, 16, 6, 6 
32, 32, 10, 10 
60, 56, 13, 12 
110, 100, 17, 14 
187, 154, 24, 18 
298, 222, 31, 18 
