total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
32, 32, 12, 12 
62, 60, 17, 16 
110, 96, 24, 20 
184, 148, 30, 20 
292, 216, 43, 28 
