total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
32, 32, 14, 14 
63, 62, 21, 20 
115, 104, 32, 26 
191, 152, 40, 28 
306, 230, 52, 34 
