total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 3, 3 
16, 16, 4, 4 
32, 32, 7, 7 
62, 60, 8, 8 
112, 100, 10, 9 
191, 158, 10, 7 
305, 228, 13, 8 
