total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 6, 6 
16, 16, 8, 8 
31, 30, 13, 12 
58, 54, 18, 16 
107, 98, 27, 24 
184, 154, 34, 28 
294, 220, 51, 36 
