total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 3, 3 
8, 8, 3, 3 
16, 16, 3, 3 
32, 32, 5, 5 
63, 62, 6, 6 
114, 102, 9, 9 
193, 158, 9, 7 
304, 222, 11, 7 
