t,pc,c
0,0.017534555365254466,0.09678262138459419
1,0.017534555365254466,0.09678262138459419
2,0.27614264408448724,0.8216994583319015
3,0.43356915291945414,0.5001544888186734
4,0.47328060947778494,0.4069010287549808
5,0.6461112356464862,0.17678672631165668
6,0.6500120415342857,0.16549651156134784
7,0.6500120415342857,0.16549651156134784
8,0.6500120415342857,0.16549651156134784
9,0.6500120415342857,0.16549651156134784
10,0.6500120415342857,0.16549651156134784
