pd,ps,n,time,total_cells,active_cells,stem_cells,active_stem_cells
0.6,0.5,6,9,184,146,0,0
0.6,0.5,6,10,297,226,0,0
0.2,0.8,6,1,1,1,1,1
0.2,0.8,6,2,2,2,2,2
0.2,0.8,6,3,4,4,4,4
0.2,0.8,6,4,8,8,6,6
0.2,0.8,6,5,16,16,8,8
0.2,0.8,6,6,32,32,14,14
0.2,0.8,6,7,60,56,23,22
0.2,0.8,6,8,108,96,28,24
0.2,0.8,6,9,188,160,46,38
0.2,0.8,6,10,294,212,59,40
0.6,0.3,8,1,1,1,1,1
0.6,0.3,8,2,2,2,2,2
0.6,0.3,8,3,4,4,2,2
0.6,0.3,8,4,8,8,1,1
0.6,0.3,8,5,16,16,0,0
0.6,0.3,8,6,32,32,0,0
0.6,0.3,8,7,62,60,0,0
0.6,0.3,8,8,114,104,0,0
0.6,0.3,8,9,195,162,0,0
0.6,0.3,8,10,310,230,0,0
0.4,0.5,3,1,1,1,1,1
0.4,0.5,3,2,2,2,2,2
0.4,0.5,3,3,4,4,1,1
0.4,0.5,3,4,8,8,2,2
0.4,0.5,3,5,16,16,0,0
0.4,0.5,3,6,32,32,0,0
0.4,0.5,3,7,62,60,0,0
0.4,0.5,3,8,112,100,0,0
0.4,0.5,3,9,186,148,0,0
0.4,0.5,3,10,295,218,0,0
0.6,0.3,0,1,1,1,1,1
0.6,0.3,0,2,2,2,0,0
0.6,0.3,0,3,4,4,0,0
0.6,0.3,0,4,8,8,0,0
0.6,0.3,0,5,16,16,0,0
0.6,0.3,0,6,32,32,0,0
0.6,0.3,0,7,61,58,0,0
0.6,0.3,0,8,111,100,0,0
0.6,0.3,0,9,186,150,0,0
0.6,0.3,0,10,294,216,0,0
0.4,0.8,8,1,1,1,1,1
0.4,0.8,8,2,2,2,2,2
0.4,0.8,8,3,4,4,4,4
0.4,0.8,8,4,8,8,6,6
0.4,0.8,8,5,16,16,8,8
0.4,0.8,8,6,32,32,12,12
0.4,0.8,8,7,62,60,17,16
0.4,0.8,8,8,112,100,23,20
0.4,0.8,8,9,190,156,29,20
0.4,0.8,8,10,307,234,39,26
0.4,0.8,0,1,1,1,1,1
0.4,0.8,0,2,2,2,2,2
0.4,0.8,0,3,4,4,4,4
0.4,0.8,0,4,8,8,6,6
0.4,0.8,0,5,16,16,8,8
0.4,0.8,0,6,32,32,14,14
0.4,0.8,0,7,62,60,23,22
0.4,0.8,0,8,112,100,31,28
0.4,0.8,0,9,189,154,56,50
0.4,0.8,0,10,305,232,70,52
0.6,0.5,7,1,1,1,1,1
0.6,0.5,7,2,2,2,0,0
0.6,0.5,7,3,4,4,0,0
0.6,0.5,7,4,8,8,0,0
0.6,0.5,7,5,16,16,0,0
0.6,0.5,7,6,32,32,0,0
0.6,0.5,7,7,60,56,0,0
0.6,0.5,7,8,107,94,0,0
0.6,0.5,7,9,183,152,0,0
0.6,0.5,7,10,295,224,0,0
0.6,0.8,4,1,1,1,1,1
0.6,0.8,4,2,2,2,2,2
0.6,0.8,4,3,4,4,4,4
0.6,0.8,4,4,8,8,6,6
0.6,0.8,4,5,16,16,8,8
0.6,0.8,4,6,31,30,14,14
0.6,0.8,4,7,60,58,22,22
0.6,0.8,4,8,109,98,35,32
0.6,0.8,4,9,182,146,44,32
0.6,0.8,4,10,292,220,61,42
0.2,0.5,3,1,1,1,1,1
0.2,0.5,3,2,2,2,2,2
0.2,0.5,3,3,4,4,1,1
