total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 1, 1 
8, 8, 1, 1 
16, 16, 2, 2 
32, 32, 4, 4 
61, 58, 6, 4 
111, 100, 7, 5 
187, 152, 7, 2 
298, 222, 8, 3 
453, 310, 9, 3 
656, 406, 9, 2 
923, 534, 10, 2 
1252, 658, 12, 4 
1658, 812, 12, 2 
2160, 1004, 12, 1 
2748, 1176, 13, 2 
3430, 1364, 14, 2 
4240, 1620, 15, 2 
5139, 1798, 15, 1 
6178, 2078, 15, 0 
7370, 2384, 15, 0 
8705, 2670, 15, 0 
10200, 2990, 15, 0 
11829, 3258, 15, 0 
