total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 2, 2 
8, 8, 3, 3 
16, 16, 5, 5 
32, 32, 8, 8 
62, 60, 12, 11 
110, 96, 18, 15 
183, 146, 27, 21 
294, 222, 36, 25 
446, 304, 50, 34 
650, 408, 60, 32 
916, 532, 75, 37 
1240, 648, 88, 38 
1632, 784, 97, 32 
2116, 968, 111, 33 
2685, 1138, 120, 28 
3366, 1362, 131, 32 
4161, 1590, 140, 31 
5064, 1806, 150, 28 
6091, 2054, 160, 26 
7253, 2324, 170, 24 
8556, 2606, 178, 23 
10009, 2906, 188, 23 
11645, 3272, 199, 26 
