total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 1, 1 
8, 8, 1, 1 
16, 16, 2, 2 
32, 32, 4, 4 
61, 58, 6, 4 
111, 100, 7, 5 
185, 148, 8, 3 
293, 216, 9, 4 
442, 298, 11, 6 
643, 402, 13, 6 
903, 520, 16, 8 
1223, 640, 19, 9 
1617, 788, 22, 7 
2100, 966, 25, 8 
2685, 1170, 28, 9 
3363, 1356, 31, 8 
4147, 1568, 35, 9 
5034, 1774, 38, 9 
6060, 2052, 41, 7 
7221, 2322, 42, 5 
8564, 2686, 44, 5 
10051, 2974, 45, 3 
11680, 3258, 47, 4 
