total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 1, 1 
8, 8, 1, 1 
16, 16, 2, 2 
32, 32, 4, 4 
61, 58, 6, 4 
111, 100, 7, 5 
185, 148, 7, 2 
293, 216, 8, 3 
445, 304, 8, 2 
653, 416, 9, 2 
907, 508, 10, 3 
1235, 656, 11, 2 
1622, 774, 12, 2 
2091, 938, 13, 3 
2677, 1172, 14, 2 
3347, 1340, 14, 1 
4120, 1546, 14, 1 
5015, 1790, 14, 0 
6051, 2072, 14, 0 
7243, 2384, 14, 0 
8550, 2614, 14, 0 
10011, 2922, 14, 0 
11642, 3262, 14, 0 
