total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 1, 1 
8, 8, 1, 1 
16, 16, 2, 2 
32, 32, 4, 4 
61, 58, 6, 4 
111, 100, 7, 5 
185, 148, 7, 2 
293, 216, 8, 3 
445, 304, 9, 3 
644, 398, 9, 1 
898, 508, 9, 1 
1217, 638, 9, 0 
1607, 780, 9, 0 
2089, 964, 9, 0 
2661, 1144, 9, 0 
3333, 1344, 9, 0 
4120, 1574, 9, 0 
5027, 1814, 9, 0 
6042, 2030, 9, 0 
7213, 2342, 9, 0 
8539, 2652, 9, 0 
10000, 2922, 9, 0 
11660, 3320, 9, 0 
