total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 1, 1 
4, 4, 2, 2 
8, 8, 2, 2 
16, 16, 3, 3 
32, 32, 4, 4 
63, 62, 5, 5 
113, 100, 5, 4 
192, 158, 6, 5 
298, 212, 7, 5 
451, 306, 9, 6 
653, 404, 12, 7 
908, 510, 13, 3 
1232, 648, 13, 2 
1642, 820, 14, 3 
2117, 950, 15, 2 
2703, 1172, 16, 3 
3390, 1374, 17, 3 
4197, 1614, 18, 2 
5121, 1848, 19, 2 
