t, p_c 
1, 0.0011815517233032618
2, 1.557194794650042e-17
3, 4.752540244432889e-29
4, 1.4326781238111587e-23
5, 1.4326781238111587e-23
6, 1.4156851700963453e-14
7, 2.415302765169485e-25
8, 0.00435936987739248
9, 0.00435936987739248
10, 0.022929438979986467
11, 0.08782565462732282
12, 0.0011815517233032618
13, 0.08782565462732282
14, 0.27062255203069874
15, 0.2995553000278241
16, 0.4118785855568552
17, 0.43894073765729935
18, 0.45028876368716303
19, 0.48350636962810944
20, 0.4906408585601343
21, 0.49649518873891735
22, 0.5219970609518559
23, 0.0011815517233032618
24, 0.557720976577667
25, 0.6003018166606799
26, 0.6089384753217986
27, 0.6089384753217986
28, 0.6160545703437286
29, 0.6160545703437286
30, 0.6160545703437286
31, 0.6160545703437286
32, 0.6160545703437286
33, 0.6160545703437286
34, 0.0011815517233032618
35, 0.6160545703437286
36, 0.6500187777076674
37, 0.6500187777076674
38, 0.6500187777076674
39, 0.6500187777076674
40, 0.6806196559212047
41, 0.6806196559212047
42, 0.6806196559212047
43, 0.6806196559212047
44, 0.6806196559212047
45, 0.0011815517233032618
46, 0.6806196559212047
47, 0.6806196559212047
48, 0.686415581282882
49, 0.6910218673605827
50, 0.6910218673605827
51, 0.6910218673605827
52, 0.6910218673605827
53, 0.6910218673605827
54, 0.6910218673605827
55, 0.6910218673605827
56, 0.0011815517233032618
