total, active, total_stem, active_stem 
1, 1, 1, 1 
2, 2, 2, 2 
4, 4, 4, 4 
8, 8, 8, 8 
16, 16, 15, 15 
32, 32, 22, 22 
62, 60, 36, 35 
112, 100, 53, 45 
189, 154, 72, 53 
303, 228, 105, 76 
